configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1081405,5.341
1,tiff,1,1,0,1,1081585,5.116
10,png,1,0,1,1,1217333,5.302
11,png,1,0,0,1,1218973,5.308
12,png,0,1,0,0,1266439,5.31
13,png,0,0,0,0,1264020,5.368
14,png,0,0,0,1,1269986,5.455
15,png,0,1,1,0,1263301,5.309
2,tiff,1,0,1,1,1084561,5.207
3,tiff,1,0,0,1,1087101,5.193
4,tiff,0,1,0,0,1146066,5.394
5,tiff,0,0,0,0,1144137,5.229
6,tiff,0,0,0,1,1151150,5.273
7,tiff,0,1,1,0,1144975,5.216
8,png,1,1,1,1,1219582,5.272
9,png,1,1,0,1,1222661,5.326
