configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,12490521,12.039
1,tiff,1,1,0,1,12490905,8.903
10,png,1,0,1,1,8109650,39.334
11,png,1,0,0,1,8109611,39.834
12,png,0,1,0,0,16899808,54.339
13,png,0,0,0,0,16899744,54.483
14,png,0,0,0,1,16899761,54.547
15,png,0,1,1,0,16899778,54.381
2,tiff,1,0,1,1,12490547,8.831
3,tiff,1,0,0,1,12490494,8.777
4,tiff,0,1,0,0,22112346,9.277
5,tiff,0,0,0,0,22112314,9.228
6,tiff,0,0,0,1,22112311,9.149
7,tiff,0,1,1,0,22112366,9.25
8,png,1,1,1,1,8109595,39.51
9,png,1,1,0,1,8109652,39.442
