configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,869170,0.184
1,tiff,1,1,0,1,869170,0.126
10,png,1,0,1,1,869170,0.127
11,png,1,0,0,1,869163,0.122
12,png,0,1,0,0,1430342,2.444
13,png,0,0,0,0,1430422,2.432
14,png,0,0,0,1,869177,0.121
15,png,0,1,1,0,1430404,2.404
2,tiff,1,0,1,1,869144,0.112
3,tiff,1,0,0,1,869144,0.121
4,tiff,0,1,0,0,1581232,0.495
5,tiff,0,0,0,0,1581206,0.516
6,tiff,0,0,0,1,869155,0.127
7,tiff,0,1,1,0,1581356,0.561
8,png,1,1,1,1,869167,0.121
9,png,1,1,0,1,869167,0.126
