configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,360461,0.132
1,tiff,1,1,0,1,360471,0.058
10,png,1,0,1,1,357580,0.092
11,png,1,0,0,1,357580,0.092
12,png,0,1,0,0,933329,2.71
13,png,0,0,0,0,933319,2.694
14,png,0,0,0,1,933319,2.645
15,png,0,1,1,0,933323,2.653
2,tiff,1,0,1,1,360469,0.055
3,tiff,1,0,0,1,360469,0.056
4,tiff,0,1,0,0,1493421,0.321
5,tiff,0,0,0,0,1493425,0.336
6,tiff,0,0,0,1,1493415,0.323
7,tiff,0,1,1,0,1493419,0.337
8,png,1,1,1,1,357579,0.093
9,png,1,1,0,1,357579,0.091
