configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,825871,0.408
1,tiff,1,1,0,1,2368575,2.704
10,png,1,0,1,1,819165,0.334
11,png,1,0,0,1,2161759,6.993
12,png,0,1,0,0,2161774,7.017
13,png,0,0,0,0,2161770,7.132
14,png,0,0,0,1,2161769,7.077
15,png,0,1,1,0,819188,0.315
2,tiff,1,0,1,1,825876,0.191
3,tiff,1,0,0,1,2368552,2.652
4,tiff,0,1,0,0,2368460,2.669
5,tiff,0,0,0,0,2368532,2.646
6,tiff,0,0,0,1,2368490,2.69
7,tiff,0,1,1,0,825876,0.192
8,png,1,1,1,1,819162,0.347
9,png,1,1,0,1,2161763,6.976
