configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,9735944,6.155
1,tiff,1,1,0,1,9743406,6.01
10,png,1,0,1,1,6400656,20.073
11,png,1,0,0,1,6400776,19.997
12,png,0,1,0,0,11991889,46.542
13,png,0,0,0,0,11991658,46.224
14,png,0,0,0,1,11990948,46.268
15,png,0,1,1,0,11991605,46.191
2,tiff,1,0,1,1,9738928,5.979
3,tiff,1,0,0,1,9738164,5.958
4,tiff,0,1,0,0,18795990,7.666
5,tiff,0,0,0,0,18792509,7.728
6,tiff,0,0,0,1,18796614,7.756
7,tiff,0,1,1,0,18798083,7.805
8,png,1,1,1,1,6400800,20.109
9,png,1,1,0,1,6400604,20.094
