configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1621052,0.466
1,tiff,1,1,0,1,1621085,0.392
10,png,1,0,1,1,1443164,0.872
11,png,1,0,0,1,1443148,0.849
12,png,0,1,0,0,9710314,9.245
13,png,0,0,0,0,9710306,9.288
14,png,0,0,0,1,9710353,9.234
15,png,0,1,1,0,9710312,9.277
2,tiff,1,0,1,1,1621171,0.393
3,tiff,1,0,0,1,1621194,0.392
4,tiff,0,1,0,0,12601324,0.804
5,tiff,0,0,0,0,12601262,0.807
6,tiff,0,0,0,1,12601314,0.789
7,tiff,0,1,1,0,12601194,0.822
8,png,1,1,1,1,1443051,0.873
9,png,1,1,0,1,1443049,0.868
