configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1600136,0.58
1,tiff,1,1,0,1,1600141,0.527
10,png,1,0,1,1,1469895,2.221
11,png,1,0,0,1,1469924,2.13
12,png,0,1,0,0,3279970,4.354
13,png,0,0,0,0,3280007,4.35
14,png,0,0,0,1,3279993,4.327
15,png,0,1,1,0,3280011,4.324
2,tiff,1,0,1,1,1600164,0.521
3,tiff,1,0,0,1,1600155,0.508
4,tiff,0,1,0,0,3278607,0.679
5,tiff,0,0,0,0,3277998,0.653
6,tiff,0,0,0,1,3278353,0.649
7,tiff,0,1,1,0,3277975,0.687
8,png,1,1,1,1,1469883,2.105
9,png,1,1,0,1,1469895,2.162
