configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,317480,0.176
1,tiff,1,1,0,1,317477,0.124
10,png,1,0,1,1,313835,0.389
11,png,1,0,0,1,313841,0.376
12,png,0,1,0,0,1181003,1.797
13,png,0,0,0,0,1181010,1.824
14,png,0,0,0,1,1181013,1.819
15,png,0,1,1,0,1180992,1.818
2,tiff,1,0,1,1,317471,0.124
3,tiff,1,0,0,1,317471,0.125
4,tiff,0,1,0,0,1154496,0.354
5,tiff,0,0,0,0,1154263,0.338
6,tiff,0,0,0,1,1154469,0.332
7,tiff,0,1,1,0,1154471,0.342
8,png,1,1,1,1,313842,0.364
9,png,1,1,0,1,313840,0.344
