configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1130225,0.535
1,tiff,1,1,0,1,1130305,0.5
10,png,1,0,1,1,1068492,1.449
11,png,1,0,0,1,1068446,1.523
12,png,0,1,0,0,1223593,2.393
13,png,0,0,0,0,1223565,2.394
14,png,0,0,0,1,1222191,2.382
15,png,0,1,1,0,1223601,2.417
2,tiff,1,0,1,1,1130251,0.496
3,tiff,1,0,0,1,1130334,0.5
4,tiff,0,1,0,0,1262979,0.601
5,tiff,0,0,0,0,1262778,0.577
6,tiff,0,0,0,1,1262305,0.554
7,tiff,0,1,1,0,1262778,0.572
8,png,1,1,1,1,1068560,1.462
9,png,1,1,0,1,1068454,1.484
