configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,19707802,1.601
1,tiff,1,1,0,1,19708677,1.593
10,png,1,0,1,1,12692316,23.557
11,png,1,0,0,1,12692519,23.407
12,png,0,1,0,0,12692698,23.387
13,png,0,0,0,0,12692736,23.534
14,png,0,0,0,1,12692338,23.522
15,png,0,1,1,0,12692352,23.589
2,tiff,1,0,1,1,19708075,1.581
3,tiff,1,0,0,1,19708928,1.596
4,tiff,0,1,0,0,19708177,1.572
5,tiff,0,0,0,0,19708101,1.541
6,tiff,0,0,0,1,19708170,1.574
7,tiff,0,1,1,0,19707973,1.623
8,png,1,1,1,1,12692590,23.583
9,png,1,1,0,1,12692364,23.562
