configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,8145131,0.422
1,tiff,1,1,0,1,8145126,0.407
10,png,1,0,1,1,7061886,1.565
11,png,1,0,0,1,7061882,1.568
12,png,0,1,0,0,7061887,1.58
13,png,0,0,0,0,7061887,1.6
14,png,0,0,0,1,7061887,1.569
15,png,0,1,1,0,7061887,1.544
2,tiff,1,0,1,1,8145133,0.41
3,tiff,1,0,0,1,8145131,0.378
4,tiff,0,1,0,0,8145133,0.404
5,tiff,0,0,0,0,8145124,0.382
6,tiff,0,0,0,1,8145131,0.398
7,tiff,0,1,1,0,8145133,0.38
8,png,1,1,1,1,7061888,1.549
9,png,1,1,0,1,7061886,1.632
