configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,3274046,5.758
1,tiff,1,1,0,1,3274094,5.48
10,png,1,0,1,1,3254943,8.896
11,png,1,0,0,1,3254943,8.858
12,png,0,1,0,0,8502335,26.231
13,png,0,0,0,0,8502341,26.097
14,png,0,0,0,1,8502346,26.08
15,png,0,1,1,0,8502354,26.126
2,tiff,1,0,1,1,3273989,5.495
3,tiff,1,0,0,1,3274030,5.485
4,tiff,0,1,0,0,10068945,6.226
5,tiff,0,0,0,0,10068876,6.215
6,tiff,0,0,0,1,10068805,6.165
7,tiff,0,1,1,0,10068808,6.218
8,png,1,1,1,1,3254949,8.87
9,png,1,1,0,1,3254965,8.846
