configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1088661,0.305
1,tiff,1,1,0,1,1088656,0.313
10,png,1,0,1,1,822082,1.114
11,png,1,0,0,1,822087,1.135
12,png,0,1,0,0,2260825,2.353
13,png,0,0,0,0,2260831,2.332
14,png,0,0,0,1,2260842,2.37
15,png,0,1,1,0,2260851,2.308
2,tiff,1,0,1,1,1089658,0.281
3,tiff,1,0,0,1,1089659,0.284
4,tiff,0,1,0,0,2485323,0.38
5,tiff,0,0,0,0,2485232,0.363
6,tiff,0,0,0,1,2485209,0.349
7,tiff,0,1,1,0,2485340,0.349
8,png,1,1,1,1,822096,1.112
9,png,1,1,0,1,822093,1.174
