configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,2491345,0.628
1,tiff,1,1,0,1,2491325,0.447
10,png,1,0,1,1,2501991,2.985
11,png,1,0,0,1,2502006,2.958
12,png,0,1,0,0,4157306,5.432
13,png,0,0,0,0,4157310,5.394
14,png,0,0,0,1,4157307,5.37
15,png,0,1,1,0,4157305,5.428
2,tiff,1,0,1,1,2491278,0.479
3,tiff,1,0,0,1,2491388,0.442
4,tiff,0,1,0,0,4934808,0.594
5,tiff,0,0,0,0,4934840,0.594
6,tiff,0,0,0,1,4934886,0.619
7,tiff,0,1,1,0,4934866,0.611
8,png,1,1,1,1,2502001,3.011
9,png,1,1,0,1,2501990,2.958
