configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,286381,0.294
1,tiff,1,1,0,1,286381,0.214
10,png,1,0,1,1,290199,0.404
11,png,1,0,0,1,290199,0.368
12,png,0,1,0,0,1919871,1.452
13,png,0,0,0,0,1919871,1.462
14,png,0,0,0,1,1919865,1.447
15,png,0,1,1,0,1919865,1.446
2,tiff,1,0,1,1,286379,0.215
3,tiff,1,0,0,1,286379,0.208
4,tiff,0,1,0,0,2687674,0.269
5,tiff,0,0,0,0,2687674,0.265
6,tiff,0,0,0,1,2687668,0.269
7,tiff,0,1,1,0,2687668,0.267
8,png,1,1,1,1,290195,0.374
9,png,1,1,0,1,290202,0.366
