configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1373585,0.764
1,tiff,1,1,0,1,1373579,0.717
10,png,1,0,1,1,1379615,2.727
11,png,1,0,0,1,1379594,2.751
12,png,0,1,0,0,1552931,2.823
13,png,0,0,0,0,1552950,2.838
14,png,0,0,0,1,1552944,2.824
15,png,0,1,1,0,1552944,2.842
2,tiff,1,0,1,1,1373589,0.721
3,tiff,1,0,0,1,1373630,0.715
4,tiff,0,1,0,0,1617030,0.725
5,tiff,0,0,0,0,1617036,0.76
6,tiff,0,0,0,1,1617033,0.747
7,tiff,0,1,1,0,1617039,0.75
8,png,1,1,1,1,1379615,2.784
9,png,1,1,0,1,1379602,2.725
