configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1274838,0.469
1,tiff,1,1,0,1,1274696,0.44
10,png,1,0,1,1,1349462,3.833
11,png,1,0,0,1,1349530,3.778
12,png,0,1,0,0,2520889,10.888
13,png,0,0,0,0,2520886,10.909
14,png,0,0,0,1,2520898,10.898
15,png,0,1,1,0,2520897,10.809
2,tiff,1,0,1,1,1274715,0.434
3,tiff,1,0,0,1,1274727,0.443
4,tiff,0,1,0,0,2860648,2.608
5,tiff,0,0,0,0,2860640,2.595
6,tiff,0,0,0,1,2860625,2.641
7,tiff,0,1,1,0,2860693,2.625
8,png,1,1,1,1,1349533,3.772
9,png,1,1,0,1,1349472,3.964
