configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,23103462,0.176
1,tiff,1,1,0,1,23103462,0.135
10,png,1,0,1,1,23103462,0.136
11,png,1,0,0,1,23103462,0.113
12,png,0,1,0,0,23103462,0.134
13,png,0,0,0,0,23103462,0.134
14,png,0,0,0,1,23103462,0.134
15,png,0,1,1,0,23103462,0.135
2,tiff,1,0,1,1,23103462,0.137
3,tiff,1,0,0,1,23103462,0.134
4,tiff,0,1,0,0,23103462,0.117
5,tiff,0,0,0,0,23103462,0.136
6,tiff,0,0,0,1,23103462,0.115
7,tiff,0,1,1,0,23103462,0.131
8,png,1,1,1,1,23103462,0.135
9,png,1,1,0,1,23103462,0.115
