configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,2710195,1.821
1,tiff,1,1,0,1,2709798,1.823
10,png,1,0,1,1,1799442,7.059
11,png,1,0,0,1,1799352,6.766
12,png,0,1,0,0,1799394,6.751
13,png,0,0,0,0,1799406,6.749
14,png,0,0,0,1,1799449,6.851
15,png,0,1,1,0,1799437,6.769
2,tiff,1,0,1,1,2710320,1.796
3,tiff,1,0,0,1,2710207,1.745
4,tiff,0,1,0,0,2709843,1.829
5,tiff,0,0,0,0,2709739,1.822
6,tiff,0,0,0,1,2709446,1.774
7,tiff,0,1,1,0,2710291,1.843
8,png,1,1,1,1,1799556,6.817
9,png,1,1,0,1,1799496,6.864
