configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,4742028,0.276
1,tiff,1,1,0,1,4742028,0.178
10,png,1,0,1,1,4742030,0.178
11,png,1,0,0,1,4742030,0.21
12,png,0,1,0,0,9121097,19.914
13,png,0,0,0,0,9121109,19.883
14,png,0,0,0,1,4742009,0.178
15,png,0,1,1,0,9121101,19.879
2,tiff,1,0,1,1,4742071,0.177
3,tiff,1,0,0,1,4742028,0.202
4,tiff,0,1,0,0,9795590,3.756
5,tiff,0,0,0,0,9795604,3.789
6,tiff,0,0,0,1,4742036,0.175
7,tiff,0,1,1,0,9795526,3.723
8,png,1,1,1,1,4742025,0.202
9,png,1,1,0,1,4742033,0.201
