configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,10399694,6.493
1,tiff,1,1,0,1,10399832,6.482
10,png,1,0,1,1,9331809,22.974
11,png,1,0,0,1,9331759,22.908
12,png,0,1,0,0,16748732,29.885
13,png,0,0,0,0,16748678,29.571
14,png,0,0,0,1,16748755,30.036
15,png,0,1,1,0,16748709,29.988
2,tiff,1,0,1,1,10399818,6.44
3,tiff,1,0,0,1,10399779,6.49
4,tiff,0,1,0,0,19455773,6.856
5,tiff,0,0,0,0,19455806,6.805
6,tiff,0,0,0,1,19456003,6.777
7,tiff,0,1,1,0,19456228,6.776
8,png,1,1,1,1,9331741,22.873
9,png,1,1,0,1,9331799,22.93
