configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,16955070,1.538
1,tiff,1,1,0,1,16955116,1.377
10,png,1,0,1,1,13429274,15.952
11,png,1,0,0,1,13429257,15.875
12,png,0,1,0,0,13644904,16.14
13,png,0,0,0,0,13644906,16.134
14,png,0,0,0,1,13644905,16.164
15,png,0,1,1,0,13644911,16.2
2,tiff,1,0,1,1,16954439,1.381
3,tiff,1,0,0,1,16955108,1.446
4,tiff,0,1,0,0,17287632,1.441
5,tiff,0,0,0,0,17287595,1.427
6,tiff,0,0,0,1,17287951,1.419
7,tiff,0,1,1,0,17287948,1.405
8,png,1,1,1,1,13429256,15.925
9,png,1,1,0,1,13429275,15.937
