configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,640566,0.243
1,tiff,1,1,0,1,640928,0.181
10,png,1,0,1,1,717788,1.099
11,png,1,0,0,1,717786,1.044
12,png,0,1,0,0,1163132,1.454
13,png,0,0,0,0,1163159,1.489
14,png,0,0,0,1,1163169,1.451
15,png,0,1,1,0,1163144,1.447
2,tiff,1,0,1,1,640962,0.18
3,tiff,1,0,0,1,640841,0.148
4,tiff,0,1,0,0,1208935,0.177
5,tiff,0,0,0,0,1208930,0.204
6,tiff,0,0,0,1,1208930,0.239
7,tiff,0,1,1,0,1209024,0.179
8,png,1,1,1,1,717786,1.067
9,png,1,1,0,1,717782,1.041
