configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1880455,1.29
1,tiff,1,1,0,1,1880443,1.297
10,png,1,0,1,1,1727340,2.311
11,png,1,0,0,1,1727355,2.303
12,png,0,1,0,0,3537132,6.896
13,png,0,0,0,0,3537132,6.876
14,png,0,0,0,1,3537141,6.819
15,png,0,1,1,0,3537150,6.879
2,tiff,1,0,1,1,1880460,1.268
3,tiff,1,0,0,1,1880457,1.25
4,tiff,0,1,0,0,4010776,1.782
5,tiff,0,0,0,0,4010788,1.819
6,tiff,0,0,0,1,4010804,1.85
7,tiff,0,1,1,0,4010789,1.822
8,png,1,1,1,1,1727360,2.318
9,png,1,1,0,1,1727347,2.303
