configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1536663,2.007
1,tiff,1,1,0,1,1536674,1.845
10,png,1,0,1,1,1615764,3.6
11,png,1,0,0,1,1615747,3.522
12,png,0,1,0,0,1843154,3.692
13,png,0,0,0,0,1843131,3.749
14,png,0,0,0,1,1843157,3.686
15,png,0,1,1,0,1843161,3.676
2,tiff,1,0,1,1,1536660,1.892
3,tiff,1,0,0,1,1536669,1.887
4,tiff,0,1,0,0,1795125,1.862
5,tiff,0,0,0,0,1794998,1.873
6,tiff,0,0,0,1,1795143,1.91
7,tiff,0,1,1,0,1795118,1.893
8,png,1,1,1,1,1615733,3.535
9,png,1,1,0,1,1615772,3.582
