configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,440564,0.662
1,tiff,1,1,0,1,440557,0.559
10,png,1,0,1,1,219975,1.123
11,png,1,0,0,1,219960,1.123
12,png,0,1,0,0,5938370,5.229
13,png,0,0,0,0,5938387,5.16
14,png,0,0,0,1,5938372,5.25
15,png,0,1,1,0,5938393,5.147
2,tiff,1,0,1,1,440520,0.59
3,tiff,1,0,0,1,440562,0.536
4,tiff,0,1,0,0,6648683,0.746
5,tiff,0,0,0,0,6649108,0.746
6,tiff,0,0,0,1,6649063,0.805
7,tiff,0,1,1,0,6649075,0.749
8,png,1,1,1,1,219981,1.157
9,png,1,1,0,1,219955,1.169
