configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,998342,0.088
1,tiff,1,1,0,1,998342,0.086
10,png,1,0,1,1,998334,0.086
11,png,1,0,0,1,998334,0.085
12,png,0,1,0,0,1716379,2.808
13,png,0,0,0,0,1716379,2.778
14,png,0,0,0,1,998343,0.098
15,png,0,1,1,0,1716378,2.771
2,tiff,1,0,1,1,998343,0.1
3,tiff,1,0,0,1,998343,0.087
4,tiff,0,1,0,0,1843119,0.453
5,tiff,0,0,0,0,1843117,0.427
6,tiff,0,0,0,1,998343,0.101
7,tiff,0,1,1,0,1843086,0.427
8,png,1,1,1,1,998318,0.094
9,png,1,1,0,1,998332,0.096
