configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,297842,0.658
1,tiff,1,1,0,1,297855,0.632
10,png,1,0,1,1,163747,1.19
11,png,1,0,0,1,163755,1.21
12,png,0,1,0,0,1505052,1.546
13,png,0,0,0,0,1505040,1.564
14,png,0,0,0,1,1505041,1.573
15,png,0,1,1,0,1505059,1.546
2,tiff,1,0,1,1,297808,0.655
3,tiff,1,0,0,1,297809,0.638
4,tiff,0,1,0,0,1528771,0.686
5,tiff,0,0,0,0,1528823,0.659
6,tiff,0,0,0,1,1528850,0.672
7,tiff,0,1,1,0,1528743,0.661
8,png,1,1,1,1,163758,1.22
9,png,1,1,0,1,163755,1.186
