configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1030021,0.157
1,tiff,1,1,0,1,1030021,0.155
10,png,1,0,1,1,966029,0.571
11,png,1,0,0,1,966036,0.637
12,png,0,1,0,0,966021,0.568
13,png,0,0,0,0,966030,0.573
14,png,0,0,0,1,966034,0.572
15,png,0,1,1,0,966019,0.568
2,tiff,1,0,1,1,1030008,0.176
3,tiff,1,0,0,1,1029944,0.158
4,tiff,0,1,0,0,1029944,0.156
5,tiff,0,0,0,0,1030018,0.159
6,tiff,0,0,0,1,1030018,0.184
7,tiff,0,1,1,0,1030018,0.179
8,png,1,1,1,1,966018,0.598
9,png,1,1,0,1,966029,0.595
