configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,6362678,6.179
1,tiff,1,1,0,1,6362701,6.109
10,png,1,0,1,1,6662471,12.357
11,png,1,0,0,1,6662413,12.341
12,png,0,1,0,0,10651906,32.282
13,png,0,0,0,0,10651898,31.719
14,png,0,0,0,1,10651916,31.89
15,png,0,1,1,0,10652025,31.819
2,tiff,1,0,1,1,6362701,6.172
3,tiff,1,0,0,1,6362703,6.097
4,tiff,0,1,0,0,11409635,9.308
5,tiff,0,0,0,0,11410230,9.322
6,tiff,0,0,0,1,11409574,9.227
7,tiff,0,1,1,0,11410439,9.375
8,png,1,1,1,1,6662493,12.319
9,png,1,1,0,1,6662436,12.442
