configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,762843,0.207
1,tiff,1,1,0,1,762849,0.153
10,png,1,0,1,1,762849,0.152
11,png,1,0,0,1,762849,0.148
12,png,0,1,0,0,2523501,3.04
13,png,0,0,0,0,2523495,3.0
14,png,0,0,0,1,2375619,2.059
15,png,0,1,1,0,2523519,3.023
2,tiff,1,0,1,1,762839,0.128
3,tiff,1,0,0,1,762839,0.129
4,tiff,0,1,0,0,2478599,0.429
5,tiff,0,0,0,0,2478604,0.431
6,tiff,0,0,0,1,2251443,0.272
7,tiff,0,1,1,0,2478616,0.456
8,png,1,1,1,1,762850,0.131
9,png,1,1,0,1,762854,0.13
