configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,2403687,0.407
1,tiff,1,1,0,1,2403687,0.303
10,png,1,0,1,1,1796082,2.573
11,png,1,0,0,1,1796077,2.55
12,png,0,1,0,0,2295889,3.941
13,png,0,0,0,0,2295889,3.941
14,png,0,0,0,1,2295885,3.916
15,png,0,1,1,0,2295886,3.919
2,tiff,1,0,1,1,2403712,0.302
3,tiff,1,0,0,1,2403710,0.272
4,tiff,0,1,0,0,3109222,0.449
5,tiff,0,0,0,0,3109208,0.465
6,tiff,0,0,0,1,3109230,0.471
7,tiff,0,1,1,0,3108575,0.45
8,png,1,1,1,1,1796070,2.654
9,png,1,1,0,1,1796075,2.621
