configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,15520099,19.01
1,tiff,1,1,0,1,15522108,18.802
10,png,1,0,1,1,9687059,52.88
11,png,1,0,0,1,9687280,53.008
12,png,0,1,0,0,11351546,55.821
13,png,0,0,0,0,11350871,55.947
14,png,0,0,0,1,11350808,55.863
15,png,0,1,1,0,11350774,55.869
2,tiff,1,0,1,1,15521751,21.711
3,tiff,1,0,0,1,15522031,18.765
4,tiff,0,1,0,0,17610948,19.185
5,tiff,0,0,0,0,17611507,19.151
6,tiff,0,0,0,1,17611753,19.111
7,tiff,0,1,1,0,17610739,19.163
8,png,1,1,1,1,9686963,52.951
9,png,1,1,0,1,9686860,52.823
