configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1581205,0.435
1,tiff,1,1,0,1,1581242,0.432
10,png,1,0,1,1,1526487,2.389
11,png,1,0,0,1,1526516,2.382
12,png,0,1,0,0,4251555,7.496
13,png,0,0,0,0,4251561,7.465
14,png,0,0,0,1,4251564,7.472
15,png,0,1,1,0,4251549,7.516
2,tiff,1,0,1,1,1581553,0.447
3,tiff,1,0,0,1,1581187,0.431
4,tiff,0,1,0,0,6306495,0.534
5,tiff,0,0,0,0,6306500,0.545
6,tiff,0,0,0,1,6306549,0.535
7,tiff,0,1,1,0,6306527,0.54
8,png,1,1,1,1,1526527,2.483
9,png,1,1,0,1,1526579,2.414
