configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,2913244,7.334
1,tiff,1,1,0,1,2913479,7.217
10,png,1,0,1,1,1757509,19.539
11,png,1,0,0,1,1757802,19.537
12,png,0,1,0,0,4355151,25.973
13,png,0,0,0,0,4355442,25.964
14,png,0,0,0,1,4361876,24.853
15,png,0,1,1,0,4355328,25.742
2,tiff,1,0,1,1,2913497,7.206
3,tiff,1,0,0,1,2913289,7.276
4,tiff,0,1,0,0,5949036,9.275
5,tiff,0,0,0,0,5948735,9.338
6,tiff,0,0,0,1,5881654,8.636
7,tiff,0,1,1,0,5948821,9.544
8,png,1,1,1,1,1757708,19.544
9,png,1,1,0,1,1757684,19.609
