configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,344962,0.16
1,tiff,1,1,0,1,344962,0.133
10,png,1,0,1,1,262312,0.342
11,png,1,0,0,1,262207,0.37
12,png,0,1,0,0,1004963,0.985
13,png,0,0,0,0,1004863,1.002
14,png,0,0,0,1,1004864,0.991
15,png,0,1,1,0,1004953,0.989
2,tiff,1,0,1,1,344954,0.112
3,tiff,1,0,0,1,344954,0.133
4,tiff,0,1,0,0,1001183,0.168
5,tiff,0,0,0,0,1001174,0.174
6,tiff,0,0,0,1,1001174,0.172
7,tiff,0,1,1,0,1001174,0.173
8,png,1,1,1,1,262204,0.371
9,png,1,1,0,1,262212,0.358
