configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,3655993,9.429
1,tiff,1,1,0,1,3656067,9.224
10,png,1,0,1,1,3333420,11.95
11,png,1,0,0,1,3333739,11.941
12,png,0,1,0,0,9444284,41.944
13,png,0,0,0,0,9444511,41.895
14,png,0,0,0,1,9444317,41.805
15,png,0,1,1,0,9444248,41.913
2,tiff,1,0,1,1,3655577,9.193
3,tiff,1,0,0,1,3656067,9.184
4,tiff,0,1,0,0,13567819,9.736
5,tiff,0,0,0,0,13569940,9.714
6,tiff,0,0,0,1,13567978,9.797
7,tiff,0,1,1,0,13568064,9.87
8,png,1,1,1,1,3333482,11.985
9,png,1,1,0,1,3333479,12.02
