configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,1537646,0.523
1,tiff,1,1,0,1,1537584,0.43
10,png,1,0,1,1,1475688,2.116
11,png,1,0,0,1,1475680,2.077
12,png,0,1,0,0,5293685,6.582
13,png,0,0,0,0,5293697,6.681
14,png,0,0,0,1,5293719,6.706
15,png,0,1,1,0,5293703,6.684
2,tiff,1,0,1,1,1537226,0.425
3,tiff,1,0,0,1,1537627,0.43
4,tiff,0,1,0,0,5940317,0.615
5,tiff,0,0,0,0,5940058,0.572
6,tiff,0,0,0,1,5940300,0.594
7,tiff,0,1,1,0,5940320,0.572
8,png,1,1,1,1,1475575,2.14
9,png,1,1,0,1,1475611,2.076
