configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,2257426,1.04
1,tiff,1,1,0,1,2257109,1.007
10,png,1,0,1,1,1649749,6.194
11,png,1,0,0,1,1649638,6.173
12,png,0,1,0,0,2884031,9.805
13,png,0,0,0,0,2887774,9.784
14,png,0,0,0,1,2341864,8.043
15,png,0,1,1,0,2883267,9.849
2,tiff,1,0,1,1,2258179,0.986
3,tiff,1,0,0,1,2257275,0.969
4,tiff,0,1,0,0,3423874,2.895
5,tiff,0,0,0,0,3423434,2.963
6,tiff,0,0,0,1,3312703,1.062
7,tiff,0,1,1,0,3423469,2.925
8,png,1,1,1,1,1649634,6.15
9,png,1,1,0,1,1649785,6.208
