configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,643496,0.808
1,tiff,1,1,0,1,643583,0.737
10,png,1,0,1,1,460836,1.873
11,png,1,0,0,1,460855,1.885
12,png,0,1,0,0,1284242,4.051
13,png,0,0,0,0,1284231,4.069
14,png,0,0,0,1,1284213,4.072
15,png,0,1,1,0,1284188,4.035
2,tiff,1,0,1,1,643570,0.737
3,tiff,1,0,0,1,643586,0.713
4,tiff,0,1,0,0,1718760,0.851
5,tiff,0,0,0,0,1718933,0.798
6,tiff,0,0,0,1,1718805,0.824
7,tiff,0,1,1,0,1718911,0.816
8,png,1,1,1,1,460825,1.87
9,png,1,1,0,1,460805,1.866
