configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,37846828,7.992
1,tiff,1,1,0,1,37844755,7.802
10,png,1,0,1,1,36481534,26.596
11,png,1,0,0,1,36480023,26.567
12,png,0,1,0,0,246287978,481.187
13,png,0,0,0,0,246288206,479.475
14,png,0,0,0,1,246287730,481.31
15,png,0,1,1,0,246287990,478.685
2,tiff,1,0,1,1,37847304,7.746
3,tiff,1,0,0,1,37843185,7.802
4,tiff,0,1,0,0,305067861,54.626
5,tiff,0,0,0,0,305065672,48.481
6,tiff,0,0,0,1,305060353,54.39
7,tiff,0,1,1,0,305056985,42.735
8,png,1,1,1,1,36480023,26.611
9,png,1,1,0,1,36479652,27.008
