configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,1864,0.035
1,50%,xz,-3,1,1856,0.033
10,100%,xz,-9,1,1812,0.034
11,50%,lzma,-6,16,1766,0.037
12,75%,xz,-3,32,1864,0.037
13,50%,lzma,-3,16,1811,0.031
14,50%,lzma,-6,32,1766,0.039
15,50%,xz,-6,32,1820,0.038
16,75%,lzma,-3,16,1811,0.034
17,75%,lzma,-6,32,1766,0.035
18,100%,lzma,-6,1,1766,0.037
19,75%,lzma,-3,1,1811,0.035
2,75%,xz,-9,16,1820,0.042
20,75%,lzma,-6,1,1766,0.036
21,75%,lzma,-6,16,1766,0.037
22,100%,xz,-9,32,1820,0.041
23,100%,xz,-9,16,1820,0.037
24,50%,lzma,-9,32,1766,0.041
25,50%,lzma,-3,32,1811,0.034
26,100%,xz,-3,1,1856,0.04
27,100%,lzma,-9,16,1766,0.037
28,100%,lzma,-3,1,1811,0.036
29,50%,lzma,-6,1,1766,0.04
3,100%,xz,-6,32,1820,0.039
4,50%,lzma,-3,1,1811,0.034
5,75%,xz,-3,1,1856,0.032
6,100%,lzma,-6,16,1766,0.033
7,75%,xz,-6,32,1820,0.036
8,50%,xz,-3,32,1864,0.035
9,75%,xz,-9,32,1820,0.036
