configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,48408,0.074
1,50%,xz,-3,1,48400,0.071
10,100%,xz,-9,1,41992,0.231
11,50%,lzma,-6,16,41945,0.2
12,75%,xz,-3,32,48408,0.069
13,50%,lzma,-3,16,48356,0.071
14,50%,lzma,-6,32,41945,0.202
15,50%,xz,-6,32,42000,0.204
16,75%,lzma,-3,16,48356,0.069
17,75%,lzma,-6,32,41945,0.209
18,100%,lzma,-6,1,41945,0.202
19,75%,lzma,-3,1,48356,0.069
2,75%,xz,-9,16,42000,0.232
20,75%,lzma,-6,1,41945,0.204
21,75%,lzma,-6,16,41945,0.201
22,100%,xz,-9,32,42000,0.232
23,100%,xz,-9,16,42000,0.23
24,50%,lzma,-9,32,41945,0.224
25,50%,lzma,-3,32,48356,0.07
26,100%,xz,-3,1,48400,0.069
27,100%,lzma,-9,16,41945,0.227
28,100%,lzma,-3,1,48356,0.066
29,50%,lzma,-6,1,41945,0.206
3,100%,xz,-6,32,42000,0.209
4,50%,lzma,-3,1,48356,0.069
5,75%,xz,-3,1,48400,0.069
6,100%,lzma,-6,16,41945,0.202
7,75%,xz,-6,32,42000,0.207
8,50%,xz,-3,32,48408,0.072
9,75%,xz,-9,32,42000,0.228
