configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,52140,0.071
1,50%,xz,-3,1,52132,0.068
10,100%,xz,-9,1,48492,0.127
11,50%,lzma,-6,16,48448,0.108
12,75%,xz,-3,32,52140,0.069
13,50%,lzma,-3,16,52085,0.066
14,50%,lzma,-6,32,48448,0.112
15,50%,xz,-6,32,48500,0.114
16,75%,lzma,-3,16,52085,0.064
17,75%,lzma,-6,32,48448,0.113
18,100%,lzma,-6,1,48448,0.109
19,75%,lzma,-3,1,52085,0.066
2,75%,xz,-9,16,48500,0.128
20,75%,lzma,-6,1,48448,0.107
21,75%,lzma,-6,16,48448,0.11
22,100%,xz,-9,32,48500,0.13
23,100%,xz,-9,16,48500,0.131
24,50%,lzma,-9,32,48448,0.122
25,50%,lzma,-3,32,52085,0.063
26,100%,xz,-3,1,52132,0.063
27,100%,lzma,-9,16,48448,0.125
28,100%,lzma,-3,1,52085,0.062
29,50%,lzma,-6,1,48448,0.112
3,100%,xz,-6,32,48500,0.114
4,50%,lzma,-3,1,52085,0.063
5,75%,xz,-3,1,52132,0.069
6,100%,lzma,-6,16,48448,0.11
7,75%,xz,-6,32,48500,0.114
8,50%,xz,-3,32,52140,0.068
9,75%,xz,-9,32,48500,0.127
