configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,1677984,1.754
1,50%,xz,-3,1,1677976,1.708
10,100%,xz,-9,1,1317152,4.902
11,50%,lzma,-6,16,1316901,4.798
12,75%,xz,-3,32,1677984,1.725
13,50%,lzma,-3,16,1677670,1.693
14,50%,lzma,-6,32,1316901,4.824
15,50%,xz,-6,32,1317160,4.811
16,75%,lzma,-3,16,1677670,1.673
17,75%,lzma,-6,32,1316901,4.87
18,100%,lzma,-6,1,1316901,4.807
19,75%,lzma,-3,1,1677670,1.672
2,75%,xz,-9,16,1317160,4.906
20,75%,lzma,-6,1,1316901,4.829
21,75%,lzma,-6,16,1316901,4.826
22,100%,xz,-9,32,1317160,4.896
23,100%,xz,-9,16,1317160,4.899
24,50%,lzma,-9,32,1316901,4.877
25,50%,lzma,-3,32,1677670,1.696
26,100%,xz,-3,1,1677976,1.682
27,100%,lzma,-9,16,1316901,4.928
28,100%,lzma,-3,1,1677670,1.679
29,50%,lzma,-6,1,1316901,4.8
3,100%,xz,-6,32,1317160,4.829
4,50%,lzma,-3,1,1677670,1.688
5,75%,xz,-3,1,1677976,1.706
6,100%,lzma,-6,16,1316901,4.825
7,75%,xz,-6,32,1317160,4.793
8,50%,xz,-3,32,1677984,1.706
9,75%,xz,-9,32,1317160,4.9
