configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,3001852,2.668
1,50%,xz,-3,1,3001844,2.614
10,100%,xz,-9,1,2750272,5.391
11,50%,lzma,-6,16,2749760,5.261
12,75%,xz,-3,32,3001852,2.636
13,50%,lzma,-3,16,3001334,2.633
14,50%,lzma,-6,32,2749760,5.209
15,50%,xz,-6,32,2750236,5.23
16,75%,lzma,-3,16,3001334,2.597
17,75%,lzma,-6,32,2749760,5.242
18,100%,lzma,-6,1,2749760,5.25
19,75%,lzma,-3,1,3001334,2.658
2,75%,xz,-9,16,2750280,5.329
20,75%,lzma,-6,1,2749760,5.262
21,75%,lzma,-6,16,2749760,5.27
22,100%,xz,-9,32,2750280,5.336
23,100%,xz,-9,16,2750280,5.298
24,50%,lzma,-9,32,2749803,5.273
25,50%,lzma,-3,32,3001334,2.619
26,100%,xz,-3,1,3001844,2.639
27,100%,lzma,-9,16,2749803,5.363
28,100%,lzma,-3,1,3001334,2.618
29,50%,lzma,-6,1,2749760,5.242
3,100%,xz,-6,32,2750236,5.207
4,50%,lzma,-3,1,3001334,2.592
5,75%,xz,-3,1,3001844,2.609
6,100%,lzma,-6,16,2749760,5.231
7,75%,xz,-6,32,2750236,5.235
8,50%,xz,-3,32,3001852,2.608
9,75%,xz,-9,32,2750280,5.327
