configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,48408,0.073
1,50%,xz,-3,1,48400,0.068
10,100%,xz,-9,1,41992,0.199
11,50%,lzma,-6,16,41945,0.179
12,75%,xz,-3,32,48408,0.071
13,50%,lzma,-3,16,48356,0.068
14,50%,lzma,-6,32,41945,0.178
15,50%,xz,-6,32,42000,0.207
16,75%,lzma,-3,16,48356,0.069
17,75%,lzma,-6,32,41945,0.203
18,100%,lzma,-6,1,41945,0.207
19,75%,lzma,-3,1,48356,0.068
2,75%,xz,-9,16,42000,0.231
20,75%,lzma,-6,1,41945,0.199
21,75%,lzma,-6,16,41945,0.2
22,100%,xz,-9,32,42000,0.227
23,100%,xz,-9,16,42000,0.228
24,50%,lzma,-9,32,41945,0.196
25,50%,lzma,-3,32,48356,0.067
26,100%,xz,-3,1,48400,0.069
27,100%,lzma,-9,16,41945,0.226
28,100%,lzma,-3,1,48356,0.065
29,50%,lzma,-6,1,41945,0.202
3,100%,xz,-6,32,42000,0.206
4,50%,lzma,-3,1,48356,0.07
5,75%,xz,-3,1,48400,0.07
6,100%,lzma,-6,16,41945,0.206
7,75%,xz,-6,32,42000,0.208
8,50%,xz,-3,32,48408,0.07
9,75%,xz,-9,32,42000,0.236
