configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,10864,0.045
1,50%,xz,-3,1,10856,0.043
10,100%,xz,-9,1,10352,0.067
11,50%,lzma,-6,16,10307,0.059
12,75%,xz,-3,32,10864,0.04
13,50%,lzma,-3,16,10811,0.045
14,50%,lzma,-6,32,10307,0.059
15,50%,xz,-6,32,10360,0.06
16,75%,lzma,-3,16,10811,0.041
17,75%,lzma,-6,32,10307,0.056
18,100%,lzma,-6,1,10307,0.059
19,75%,lzma,-3,1,10811,0.042
2,75%,xz,-9,16,10360,0.069
20,75%,lzma,-6,1,10307,0.06
21,75%,lzma,-6,16,10307,0.06
22,100%,xz,-9,32,10360,0.07
23,100%,xz,-9,16,10360,0.069
24,50%,lzma,-9,32,10307,0.07
25,50%,lzma,-3,32,10811,0.042
26,100%,xz,-3,1,10856,0.039
27,100%,lzma,-9,16,10307,0.068
28,100%,lzma,-3,1,10811,0.046
29,50%,lzma,-6,1,10307,0.058
3,100%,xz,-6,32,10360,0.064
4,50%,lzma,-3,1,10811,0.042
5,75%,xz,-3,1,10856,0.04
6,100%,lzma,-6,16,10307,0.058
7,75%,xz,-6,32,10360,0.062
8,50%,xz,-3,32,10864,0.046
9,75%,xz,-9,32,10360,0.07
