configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,130896,0.128
1,50%,xz,-3,1,130888,0.124
10,100%,xz,-9,1,119500,0.238
11,50%,lzma,-6,16,119446,0.248
12,75%,xz,-3,32,130896,0.127
13,50%,lzma,-3,16,130823,0.121
14,50%,lzma,-6,32,119446,0.243
15,50%,xz,-6,32,119508,0.245
16,75%,lzma,-3,16,130823,0.121
17,75%,lzma,-6,32,119446,0.245
18,100%,lzma,-6,1,119446,0.247
19,75%,lzma,-3,1,130823,0.121
2,75%,xz,-9,16,119508,0.273
20,75%,lzma,-6,1,119446,0.241
21,75%,lzma,-6,16,119446,0.244
22,100%,xz,-9,32,119508,0.277
23,100%,xz,-9,16,119508,0.24
24,50%,lzma,-9,32,119446,0.238
25,50%,lzma,-3,32,130823,0.121
26,100%,xz,-3,1,130888,0.112
27,100%,lzma,-9,16,119446,0.27
28,100%,lzma,-3,1,130823,0.122
29,50%,lzma,-6,1,119446,0.245
3,100%,xz,-6,32,119508,0.247
4,50%,lzma,-3,1,130823,0.122
5,75%,xz,-3,1,130888,0.123
6,100%,lzma,-6,16,119446,0.241
7,75%,xz,-6,32,119508,0.25
8,50%,xz,-3,32,130896,0.125
9,75%,xz,-9,32,119508,0.277
