configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,67600,0.193
1,50%,xz,-3,1,67592,0.182
10,100%,xz,-9,1,49116,0.576
11,50%,lzma,-6,16,49071,0.554
12,75%,xz,-3,32,67600,0.168
13,50%,lzma,-3,16,67536,0.162
14,50%,lzma,-6,32,49071,0.563
15,50%,xz,-6,32,49124,0.534
16,75%,lzma,-3,16,67536,0.172
17,75%,lzma,-6,32,49071,0.53
18,100%,lzma,-6,1,49071,0.561
19,75%,lzma,-3,1,67536,0.185
2,75%,xz,-9,16,49124,0.566
20,75%,lzma,-6,1,49071,0.526
21,75%,lzma,-6,16,49071,0.553
22,100%,xz,-9,32,49124,0.544
23,100%,xz,-9,16,49124,0.569
24,50%,lzma,-9,32,49071,0.564
25,50%,lzma,-3,32,67536,0.18
26,100%,xz,-3,1,67592,0.18
27,100%,lzma,-9,16,49071,0.538
28,100%,lzma,-3,1,67536,0.181
29,50%,lzma,-6,1,49071,0.561
3,100%,xz,-6,32,49124,0.566
4,50%,lzma,-3,1,67536,0.18
5,75%,xz,-3,1,67592,0.181
6,100%,lzma,-6,16,49071,0.558
7,75%,xz,-6,32,49124,0.532
8,50%,xz,-3,32,67600,0.188
9,75%,xz,-9,32,49124,0.574
