configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,181284,0.159
1,50%,xz,-3,1,181276,0.158
10,100%,xz,-9,1,165412,0.271
11,50%,lzma,-6,16,165346,0.251
12,75%,xz,-3,32,181284,0.163
13,50%,lzma,-3,16,181212,0.146
14,50%,lzma,-6,32,165346,0.29
15,50%,xz,-6,32,165420,0.261
16,75%,lzma,-3,16,181212,0.15
17,75%,lzma,-6,32,165346,0.29
18,100%,lzma,-6,1,165346,0.251
19,75%,lzma,-3,1,181212,0.146
2,75%,xz,-9,16,165420,0.314
20,75%,lzma,-6,1,165346,0.28
21,75%,lzma,-6,16,165346,0.256
22,100%,xz,-9,32,165420,0.279
23,100%,xz,-9,16,165420,0.312
24,50%,lzma,-9,32,165346,0.269
25,50%,lzma,-3,32,181212,0.158
26,100%,xz,-3,1,181276,0.162
27,100%,lzma,-9,16,165346,0.306
28,100%,lzma,-3,1,181212,0.159
29,50%,lzma,-6,1,165346,0.286
3,100%,xz,-6,32,165420,0.258
4,50%,lzma,-3,1,181212,0.144
5,75%,xz,-3,1,181276,0.164
6,100%,lzma,-6,16,165346,0.288
7,75%,xz,-6,32,165420,0.275
8,50%,xz,-3,32,181284,0.15
9,75%,xz,-9,32,165420,0.305
