configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,66644,0.073
1,50%,xz,-3,1,66636,0.071
10,100%,xz,-9,1,61504,0.181
11,50%,lzma,-6,16,61460,0.132
12,75%,xz,-3,32,66644,0.071
13,50%,lzma,-3,16,66582,0.07
14,50%,lzma,-6,32,61460,0.135
15,50%,xz,-6,32,61512,0.138
16,75%,lzma,-3,16,66582,0.07
17,75%,lzma,-6,32,61460,0.133
18,100%,lzma,-6,1,61460,0.134
19,75%,lzma,-3,1,66582,0.066
2,75%,xz,-9,16,61512,0.186
20,75%,lzma,-6,1,61460,0.136
21,75%,lzma,-6,16,61460,0.133
22,100%,xz,-9,32,61512,0.185
23,100%,xz,-9,16,61512,0.184
24,50%,lzma,-9,32,61460,0.176
25,50%,lzma,-3,32,66582,0.065
26,100%,xz,-3,1,66636,0.068
27,100%,lzma,-9,16,61460,0.176
28,100%,lzma,-3,1,66582,0.068
29,50%,lzma,-6,1,61460,0.133
3,100%,xz,-6,32,61512,0.137
4,50%,lzma,-3,1,66582,0.067
5,75%,xz,-3,1,66636,0.069
6,100%,lzma,-6,16,61460,0.138
7,75%,xz,-6,32,61512,0.138
8,50%,xz,-3,32,66644,0.073
9,75%,xz,-9,32,61512,0.185
