configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,68,0.026
1,50%,xz,-3,1,60,0.027
10,100%,xz,-9,1,60,0.027
11,50%,lzma,-6,16,24,0.025
12,75%,xz,-3,32,68,0.027
13,50%,lzma,-3,16,24,0.022
14,50%,lzma,-6,32,24,0.027
15,50%,xz,-6,32,68,0.027
16,75%,lzma,-3,16,24,0.028
17,75%,lzma,-6,32,24,0.026
18,100%,lzma,-6,1,24,0.027
19,75%,lzma,-3,1,24,0.027
2,75%,xz,-9,16,68,0.026
20,75%,lzma,-6,1,24,0.025
21,75%,lzma,-6,16,24,0.025
22,100%,xz,-9,32,68,0.026
23,100%,xz,-9,16,68,0.027
24,50%,lzma,-9,32,24,0.025
25,50%,lzma,-3,32,24,0.025
26,100%,xz,-3,1,60,0.023
27,100%,lzma,-9,16,24,0.026
28,100%,lzma,-3,1,24,0.023
29,50%,lzma,-6,1,24,0.025
3,100%,xz,-6,32,68,0.028
4,50%,lzma,-3,1,24,0.025
5,75%,xz,-3,1,60,0.024
6,100%,lzma,-6,16,24,0.026
7,75%,xz,-6,32,68,0.025
8,50%,xz,-3,32,68,0.028
9,75%,xz,-9,32,68,0.026
