configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,1335616,1.049
1,50%,xz,-3,1,1335608,1.028
10,100%,xz,-9,1,1186488,4.462
11,50%,lzma,-6,16,1186258,4.424
12,75%,xz,-3,32,1335616,1.019
13,50%,lzma,-3,16,1335356,0.994
14,50%,lzma,-6,32,1186258,4.435
15,50%,xz,-6,32,1186496,4.452
16,75%,lzma,-3,16,1335356,1.021
17,75%,lzma,-6,32,1186258,4.439
18,100%,lzma,-6,1,1186258,4.45
19,75%,lzma,-3,1,1335356,1.073
2,75%,xz,-9,16,1186496,4.418
20,75%,lzma,-6,1,1186258,4.431
21,75%,lzma,-6,16,1186258,4.403
22,100%,xz,-9,32,1186496,4.448
23,100%,xz,-9,16,1186496,4.445
24,50%,lzma,-9,32,1186258,4.412
25,50%,lzma,-3,32,1335356,1.022
26,100%,xz,-3,1,1335608,0.992
27,100%,lzma,-9,16,1186258,4.445
28,100%,lzma,-3,1,1335356,0.99
29,50%,lzma,-6,1,1186258,4.406
3,100%,xz,-6,32,1186496,4.447
4,50%,lzma,-3,1,1335356,1.021
5,75%,xz,-3,1,1335608,1.034
6,100%,lzma,-6,16,1186258,4.431
7,75%,xz,-6,32,1186496,4.441
8,50%,xz,-3,32,1335616,1.022
9,75%,xz,-9,32,1186496,4.458
