configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,1057120,1.074
1,50%,xz,-3,1,1057112,1.04
10,100%,xz,-9,1,885184,2.513
11,50%,lzma,-6,16,885002,2.514
12,75%,xz,-3,32,1057120,1.048
13,50%,lzma,-3,16,1056901,1.012
14,50%,lzma,-6,32,885002,2.502
15,50%,xz,-6,32,885192,2.544
16,75%,lzma,-3,16,1056901,1.024
17,75%,lzma,-6,32,885002,2.504
18,100%,lzma,-6,1,885002,2.521
19,75%,lzma,-3,1,1056901,1.016
2,75%,xz,-9,16,885192,2.556
20,75%,lzma,-6,1,885002,2.5
21,75%,lzma,-6,16,885002,2.502
22,100%,xz,-9,32,885192,2.536
23,100%,xz,-9,16,885192,2.562
24,50%,lzma,-9,32,885002,2.519
25,50%,lzma,-3,32,1056901,1.034
26,100%,xz,-3,1,1057112,1.049
27,100%,lzma,-9,16,885002,2.511
28,100%,lzma,-3,1,1056901,1.041
29,50%,lzma,-6,1,885002,2.506
3,100%,xz,-6,32,885192,2.519
4,50%,lzma,-3,1,1056901,1.038
5,75%,xz,-3,1,1057112,1.033
6,100%,lzma,-6,16,885002,2.477
7,75%,xz,-6,32,885192,2.49
8,50%,xz,-3,32,1057120,1.044
9,75%,xz,-9,32,885192,2.535
