configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,32844,0.058
1,50%,xz,-3,1,32836,0.055
10,100%,xz,-9,1,30588,0.103
11,50%,lzma,-6,16,30543,0.089
12,75%,xz,-3,32,32844,0.058
13,50%,lzma,-3,16,32789,0.054
14,50%,lzma,-6,32,30543,0.087
15,50%,xz,-6,32,30596,0.093
16,75%,lzma,-3,16,32789,0.053
17,75%,lzma,-6,32,30543,0.089
18,100%,lzma,-6,1,30543,0.085
19,75%,lzma,-3,1,32789,0.051
2,75%,xz,-9,16,30596,0.106
20,75%,lzma,-6,1,30543,0.088
21,75%,lzma,-6,16,30543,0.086
22,100%,xz,-9,32,30596,0.105
23,100%,xz,-9,16,30596,0.107
24,50%,lzma,-9,32,30543,0.101
25,50%,lzma,-3,32,32789,0.054
26,100%,xz,-3,1,32836,0.05
27,100%,lzma,-9,16,30543,0.104
28,100%,lzma,-3,1,32789,0.057
29,50%,lzma,-6,1,30543,0.088
3,100%,xz,-6,32,30596,0.091
4,50%,lzma,-3,1,32789,0.051
5,75%,xz,-3,1,32836,0.054
6,100%,lzma,-6,16,30543,0.094
7,75%,xz,-6,32,30596,0.094
8,50%,xz,-3,32,32844,0.057
9,75%,xz,-9,32,30596,0.109
