configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,18124,0.048
1,50%,xz,-3,1,18116,0.049
10,100%,xz,-9,1,17280,0.074
11,50%,lzma,-6,16,17233,0.065
12,75%,xz,-3,32,18124,0.044
13,50%,lzma,-3,16,18069,0.045
14,50%,lzma,-6,32,17233,0.062
15,50%,xz,-6,32,17288,0.07
16,75%,lzma,-3,16,18069,0.045
17,75%,lzma,-6,32,17233,0.064
18,100%,lzma,-6,1,17233,0.066
19,75%,lzma,-3,1,18069,0.045
2,75%,xz,-9,16,17288,0.078
20,75%,lzma,-6,1,17233,0.067
21,75%,lzma,-6,16,17233,0.06
22,100%,xz,-9,32,17288,0.079
23,100%,xz,-9,16,17288,0.077
24,50%,lzma,-9,32,17233,0.075
25,50%,lzma,-3,32,18069,0.043
26,100%,xz,-3,1,18116,0.042
27,100%,lzma,-9,16,17233,0.074
28,100%,lzma,-3,1,18069,0.044
29,50%,lzma,-6,1,17233,0.066
3,100%,xz,-6,32,17288,0.071
4,50%,lzma,-3,1,18069,0.049
5,75%,xz,-3,1,18116,0.045
6,100%,lzma,-6,16,17233,0.063
7,75%,xz,-6,32,17288,0.068
8,50%,xz,-3,32,18124,0.048
9,75%,xz,-9,32,17288,0.079
