configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,515656,0.439
1,50%,xz,-3,1,515648,0.467
10,100%,xz,-9,1,453260,1.493
11,50%,lzma,-6,16,453144,1.425
12,75%,xz,-3,32,515656,0.463
13,50%,lzma,-3,16,515524,0.467
14,50%,lzma,-6,32,453144,1.406
15,50%,xz,-6,32,453268,1.417
16,75%,lzma,-3,16,515524,0.451
17,75%,lzma,-6,32,453144,1.404
18,100%,lzma,-6,1,453144,1.438
19,75%,lzma,-3,1,515524,0.43
2,75%,xz,-9,16,453268,1.504
20,75%,lzma,-6,1,453144,1.432
21,75%,lzma,-6,16,453144,1.44
22,100%,xz,-9,32,453268,1.492
23,100%,xz,-9,16,453268,1.469
24,50%,lzma,-9,32,453144,1.48
25,50%,lzma,-3,32,515524,0.459
26,100%,xz,-3,1,515648,0.431
27,100%,lzma,-9,16,453144,1.482
28,100%,lzma,-3,1,515524,0.447
29,50%,lzma,-6,1,453144,1.435
3,100%,xz,-6,32,453268,1.433
4,50%,lzma,-3,1,515524,0.461
5,75%,xz,-3,1,515648,0.46
6,100%,lzma,-6,16,453144,1.438
7,75%,xz,-6,32,453268,1.488
8,50%,xz,-3,32,515656,0.44
9,75%,xz,-9,32,453268,1.476
