configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,10292,0.04
1,50%,xz,-3,1,10284,0.04
10,100%,xz,-9,1,9452,0.065
11,50%,lzma,-6,16,9406,0.058
12,75%,xz,-3,32,10292,0.045
13,50%,lzma,-3,16,10237,0.041
14,50%,lzma,-6,32,9406,0.051
15,50%,xz,-6,32,9460,0.064
16,75%,lzma,-3,16,10237,0.04
17,75%,lzma,-6,32,9406,0.056
18,100%,lzma,-6,1,9406,0.06
19,75%,lzma,-3,1,10237,0.04
2,75%,xz,-9,16,9460,0.067
20,75%,lzma,-6,1,9406,0.056
21,75%,lzma,-6,16,9406,0.058
22,100%,xz,-9,32,9460,0.072
23,100%,xz,-9,16,9460,0.068
24,50%,lzma,-9,32,9406,0.069
25,50%,lzma,-3,32,10237,0.04
26,100%,xz,-3,1,10284,0.043
27,100%,lzma,-9,16,9406,0.067
28,100%,lzma,-3,1,10237,0.041
29,50%,lzma,-6,1,9406,0.06
3,100%,xz,-6,32,9460,0.06
4,50%,lzma,-3,1,10237,0.043
5,75%,xz,-3,1,10284,0.042
6,100%,lzma,-6,16,9406,0.058
7,75%,xz,-6,32,9460,0.057
8,50%,xz,-3,32,10292,0.046
9,75%,xz,-9,32,9460,0.073
