configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,156,0.029
1,50%,xz,-3,1,148,0.032
10,100%,xz,-9,1,148,0.032
11,50%,lzma,-6,16,103,0.032
12,75%,xz,-3,32,156,0.028
13,50%,lzma,-3,16,103,0.031
14,50%,lzma,-6,32,103,0.03
15,50%,xz,-6,32,156,0.032
16,75%,lzma,-3,16,103,0.031
17,75%,lzma,-6,32,103,0.033
18,100%,lzma,-6,1,103,0.031
19,75%,lzma,-3,1,103,0.028
2,75%,xz,-9,16,156,0.034
20,75%,lzma,-6,1,103,0.031
21,75%,lzma,-6,16,103,0.032
22,100%,xz,-9,32,156,0.035
23,100%,xz,-9,16,156,0.031
24,50%,lzma,-9,32,103,0.031
25,50%,lzma,-3,32,103,0.027
26,100%,xz,-3,1,148,0.027
27,100%,lzma,-9,16,103,0.034
28,100%,lzma,-3,1,103,0.029
29,50%,lzma,-6,1,103,0.031
3,100%,xz,-6,32,156,0.034
4,50%,lzma,-3,1,103,0.028
5,75%,xz,-3,1,148,0.03
6,100%,lzma,-6,16,103,0.034
7,75%,xz,-6,32,156,0.033
8,50%,xz,-3,32,156,0.032
9,75%,xz,-9,32,156,0.038
