configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,3272448,2.263
1,50%,xz,-3,1,3272440,2.236
10,100%,xz,-9,1,2849908,5.633
11,50%,lzma,-6,16,2849620,5.519
12,75%,xz,-3,32,3272448,2.305
13,50%,lzma,-3,16,3271884,2.248
14,50%,lzma,-6,32,2849620,5.495
15,50%,xz,-6,32,2850112,5.49
16,75%,lzma,-3,16,3271884,2.24
17,75%,lzma,-6,32,2849620,5.527
18,100%,lzma,-6,1,2849620,5.51
19,75%,lzma,-3,1,3271884,2.277
2,75%,xz,-9,16,2849916,5.594
20,75%,lzma,-6,1,2849620,5.536
21,75%,lzma,-6,16,2849620,5.509
22,100%,xz,-9,32,2849916,5.561
23,100%,xz,-9,16,2849916,5.639
24,50%,lzma,-9,32,2849422,5.588
25,50%,lzma,-3,32,3271884,2.228
26,100%,xz,-3,1,3272440,2.301
27,100%,lzma,-9,16,2849422,5.564
28,100%,lzma,-3,1,3271884,2.222
29,50%,lzma,-6,1,2849620,5.546
3,100%,xz,-6,32,2850112,5.477
4,50%,lzma,-3,1,3271884,2.247
5,75%,xz,-3,1,3272440,2.231
6,100%,lzma,-6,16,2849620,5.463
7,75%,xz,-6,32,2850112,5.506
8,50%,xz,-3,32,3272448,2.278
9,75%,xz,-9,32,2849916,5.578
