configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,4248448,2.052
1,50%,xz,-3,1,4244480,3.04
10,100%,xz,-9,1,3763616,8.511
11,50%,lzma,-6,16,3786768,8.078
12,75%,xz,-3,32,4248448,2.006
13,50%,lzma,-3,16,4243773,2.992
14,50%,lzma,-6,32,3786768,8.118
15,50%,xz,-6,32,3787408,8.128
16,75%,lzma,-3,16,4243773,2.998
17,75%,lzma,-6,32,3786768,8.091
18,100%,lzma,-6,1,3786768,8.062
19,75%,lzma,-3,1,4243773,3.018
2,75%,xz,-9,16,3763624,8.4
20,75%,lzma,-6,1,3786768,8.074
21,75%,lzma,-6,16,3786768,8.135
22,100%,xz,-9,32,3763624,8.428
23,100%,xz,-9,16,3763624,8.413
24,50%,lzma,-9,32,3762987,8.403
25,50%,lzma,-3,32,4243773,3.022
26,100%,xz,-3,1,4244480,3.034
27,100%,lzma,-9,16,3762987,8.454
28,100%,lzma,-3,1,4243773,3.019
29,50%,lzma,-6,1,3786768,8.103
3,100%,xz,-6,32,3787408,8.075
4,50%,lzma,-3,1,4243773,3.025
5,75%,xz,-3,1,4244480,3.055
6,100%,lzma,-6,16,3786768,8.117
7,75%,xz,-6,32,3787408,8.081
8,50%,xz,-3,32,4248448,2.023
9,75%,xz,-9,32,3763624,8.39
