configurationID,memory,format,level,depth,size,time
0,75%,xz,-3,16,5048,0.039
1,50%,xz,-3,1,5040,0.039
10,100%,xz,-9,1,4900,0.047
11,50%,lzma,-6,16,4853,0.046
12,75%,xz,-3,32,5048,0.036
13,50%,lzma,-3,16,4996,0.036
14,50%,lzma,-6,32,4853,0.042
15,50%,xz,-6,32,4908,0.042
16,75%,lzma,-3,16,4996,0.037
17,75%,lzma,-6,32,4853,0.04
18,100%,lzma,-6,1,4853,0.044
19,75%,lzma,-3,1,4996,0.036
2,75%,xz,-9,16,4908,0.052
20,75%,lzma,-6,1,4853,0.045
21,75%,lzma,-6,16,4853,0.044
22,100%,xz,-9,32,4908,0.053
23,100%,xz,-9,16,4908,0.051
24,50%,lzma,-9,32,4853,0.043
25,50%,lzma,-3,32,4996,0.036
26,100%,xz,-3,1,5040,0.041
27,100%,lzma,-9,16,4853,0.044
28,100%,lzma,-3,1,4996,0.035
29,50%,lzma,-6,1,4853,0.045
3,100%,xz,-6,32,4908,0.045
4,50%,lzma,-3,1,4996,0.041
5,75%,xz,-3,1,5040,0.038
6,100%,lzma,-6,16,4853,0.043
7,75%,xz,-6,32,4908,0.049
8,50%,xz,-3,32,5048,0.04
9,75%,xz,-9,32,4908,0.051
